Rank,Country,ISO3,Population_M,Eligible_M,GX_Impact_Index,Tier,Need_Score,Readiness_Score,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Unbanked_Pct,Inflation_Pct,Remittance_Pct_GDP,Mobile_Per_100
126,Trinidad and Tobago,TTO,1.4,0.82,38.4,Tier 4: Strategic Impact,12.5,25.9,0.049,5.91,0.112,13.40,0.87,25.41,0.53,0.81,134.23
127,India,IND,1450.9,870.56,38.3,Tier 4: Strategic Impact,13.8,24.5,52.234,6268.04,118.396,14207.56,6.06,10.98,4.95,3.29,80.56
128,Bulgaria,BGR,6.4,3.86,37.9,Tier 4: Strategic Impact,12.6,25.3,0.232,27.83,0.526,63.07,0.93,15.28,2.45,2.24,117.93
129,Kenya,KEN,56.4,33.86,37.8,Tier 4: Strategic Impact,14.8,23.0,2.032,243.79,4.605,552.59,7.65,9.88,4.49,3.93,120.61
130,Palau,PLW,0.0,0.01,37.8,Tier 4: Strategic Impact,12.8,25.0,0.001,0.08,0.001,0.17,1.05,,2.23,0.80,135.39
131,Belize,BLZ,0.4,0.25,37.5,Tier 4: Strategic Impact,18.1,19.4,0.015,1.80,0.034,4.08,2.12,32.03,3.29,4.90,67.18
132,Djibouti,DJI,1.2,0.70,37.5,Tier 4: Strategic Impact,19.3,18.2,0.042,5.05,0.095,11.44,4.59,,2.11,1.50,48.45
133,Saudi Arabia,SAU,35.3,21.18,37.5,Tier 4: Strategic Impact,7.7,29.9,1.271,152.50,2.881,345.66,0.46,21.16,1.69,0.03,157.78
134,Grenada,GRD,0.1,0.07,37.4,Tier 4: Strategic Impact,16.8,20.6,0.004,0.51,0.010,1.15,1.39,,1.09,3.05,95.76
135,Poland,POL,36.6,21.94,37.1,Tier 4: Strategic Impact,9.5,27.6,1.316,157.94,2.983,357.99,0.65,13.86,3.79,1.05,135.15
136,Puerto Rico (US),PRI,3.2,1.92,36.6,Tier 4: Strategic Impact,12.8,23.8,0.115,13.84,0.261,31.37,0.41,,,,124.51
137,Seychelles,SYC,0.1,0.07,36.1,Tier 4: Strategic Impact,11.4,24.7,0.004,0.52,0.010,1.19,0.91,,0.31,0.52,129.24
138,Burundi,BDI,14.0,8.43,35.9,Tier 4: Strategic Impact,21.3,14.6,0.506,60.69,1.146,137.56,74.38,,20.21,5.70,63.16
139,Japan,JPN,124.0,74.39,35.9,Tier 4: Strategic Impact,4.9,30.9,4.463,535.57,10.116,1213.97,0.50,1.48,2.74,0.11,178.43
140,Curacao,CUW,0.2,0.09,35.8,Tier 4: Strategic Impact,19.9,15.9,0.006,0.67,0.013,1.53,0.71,,,5.38,93.80
141,Croatia,HRV,3.9,2.32,35.5,Tier 4: Strategic Impact,10.9,24.5,0.139,16.70,0.315,37.86,0.68,7.36,2.97,7.10,117.11
142,Hungary,HUN,9.6,5.74,35.3,Tier 4: Strategic Impact,10.3,25.0,0.344,41.31,0.780,93.63,0.70,13.04,3.70,2.41,105.05
143,Slovak Republic,SVK,5.4,3.25,35.2,Tier 4: Strategic Impact,8.4,26.8,0.195,23.42,0.442,53.09,0.63,7.78,2.76,2.04,138.23
144,Central African Republic,CAF,5.3,3.20,34.9,Tier 4: Strategic Impact,22.1,12.8,0.192,23.03,0.435,52.20,31.62,,1.48,,38.82
145,"Korea, Rep.",KOR,51.8,31.05,34.4,Tier 4: Strategic Impact,4.4,30.0,1.863,223.56,4.223,506.75,0.45,3.11,2.32,0.39,162.11
146,Uganda,UGA,50.0,30.01,34.3,Tier 4: Strategic Impact,17.7,16.6,1.801,216.07,4.081,489.75,15.14,27.17,3.32,3.10,76.30
147,St. Lucia,LCA,0.2,0.11,34.2,Tier 4: Strategic Impact,13.6,20.6,0.006,0.78,0.015,1.76,1.15,,-0.11,2.60,98.67
148,Latvia,LVA,1.9,1.12,34.1,Tier 4: Strategic Impact,8.7,25.5,0.067,8.06,0.152,18.27,0.70,5.03,1.27,2.89,119.91
149,United Arab Emirates,ARE,11.0,6.59,34.1,Tier 4: Strategic Impact,3.0,31.1,0.396,47.46,0.896,107.58,0.32,14.26,1.66,0.36,199.42
150,Barbados,BRB,0.3,0.17,33.8,Tier 4: Strategic Impact,12.7,21.0,0.010,1.22,0.023,2.77,0.61,,1.45,,114.58
151,St. Kitts and Nevis,KNA,0.0,0.03,33.7,Tier 4: Strategic Impact,11.8,21.9,0.002,0.20,0.004,0.46,0.68,,3.56,3.52,118.89
152,Solomon Islands,SLB,0.8,0.49,33.4,Tier 4: Strategic Impact,18.2,15.3,0.029,3.54,0.067,8.02,8.44,,4.32,5.61,62.07
153,Greece,GRC,10.4,6.24,33.3,Tier 4: Strategic Impact,8.7,24.7,0.375,44.95,0.849,101.89,0.66,11.45,2.74,0.22,110.79
154,Brunei Darussalam,BRN,0.5,0.28,33.0,Tier 4: Strategic Impact,8.8,24.3,0.017,2.00,0.038,4.53,0.49,,-0.39,,118.67
155,Estonia,EST,1.4,0.82,32.8,Tier 4: Strategic Impact,5.7,27.1,0.049,5.93,0.112,13.44,0.52,1.10,3.52,1.18,150.20
156,Sint Maarten (Dutch part),SXM,0.0,0.03,32.7,Tier 4: Strategic Impact,7.3,25.4,0.002,0.19,0.004,0.42,0.39,,,2.85,205.37
