Rank,Country,ISO3,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
102,Afghanistan,AFG,42.6,9.04,13.55,21.2,17.2,,55.5,15.9,414,2.846,341.57,60.9,33.9,13.1,47.1,Tier 3: Moderate Opportunity
103,China,CHN,1409.0,161.36,242.03,11.5,15.0,11.4,128.2,90.6,13303,50.827,6099.27,1.9,14.5,32.6,47.0,Tier 3: Moderate Opportunity
104,Ethiopia,ETH,132.1,27.81,41.72,21.1,5.4,62.1,59.9,20.3,1134,8.761,1051.33,22.2,31.8,15.2,47.0,Tier 3: Moderate Opportunity
105,Cameroon,CMR,29.1,5.78,8.67,19.8,6.6,42.8,96.5,42.2,1830,1.820,218.39,13.8,27.2,19.7,46.9,Tier 3: Moderate Opportunity
106,Chile,CHL,19.8,2.54,3.81,12.9,21.0,14.6,135.9,94.5,16710,0.801,96.11,1.5,17.0,29.7,46.7,Tier 3: Moderate Opportunity
107,"Congo, Dem. Rep.",COD,109.3,20.85,31.28,19.1,8.0,68.4,53.2,19.0,649,6.568,788.17,38.8,32.3,14.2,46.6,Tier 3: Moderate Opportunity
108,Guyana,GUY,0.8,0.14,0.22,17.3,24.7,,112.6,79.4,29675,0.045,5.43,0.8,23.6,22.9,46.5,Tier 3: Moderate Opportunity
109,Chad,TCD,20.3,4.06,6.09,20.0,1.5,79.3,70.2,12.0,962,1.278,153.34,26.2,33.5,12.9,46.4,Tier 3: Moderate Opportunity
110,Turkmenistan,TKM,7.5,1.07,1.60,14.2,,,,,6857,0.336,40.32,3.7,28.3,18.0,46.4,Tier 3: Moderate Opportunity
111,Brazil,BRA,212.0,30.61,45.91,14.4,15.7,15.6,101.0,84.2,10311,9.641,1156.96,2.4,18.3,27.9,46.3,Tier 3: Moderate Opportunity
112,Jamaica,JAM,2.8,0.46,0.69,16.1,10.4,24.6,115.1,89.5,7754,0.144,17.27,3.3,20.5,25.7,46.3,Tier 3: Moderate Opportunity
113,Antigua and Barbuda,ATG,0.1,0.01,0.02,14.1,,,200.5,72.1,23542,0.004,0.50,1.1,20.0,26.1,46.1,Tier 3: Moderate Opportunity
114,Ghana,GHA,34.4,6.62,9.93,19.2,5.3,20.0,98.8,70.7,2391,2.085,250.25,10.5,21.8,24.3,46.1,Tier 3: Moderate Opportunity
